,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
923,we fell in love in october,girl in red,11/21/2018,6858,0,723043854.0,31,21,15,0,4.0,130.0,G,Major,57.0,24.0,37.0,11.0,18.0,16.0,3.0
924,2 Be Loved (Am I Ready),Lizzo,7/14/2022,3682,6,247689123.0,41,0,158,2,68.0,156.0,G,Major,72.0,92.0,77.0,9.0,0.0,8.0,11.0
925,Celestial,Ed Sheeran,9/29/2022,1639,0,176474912.0,86,14,80,0,37.0,123.0,D,Major,57.0,50.0,85.0,5.0,0.0,16.0,4.0
926,Typa Girl,BLACKPINK,9/16/2022,452,10,235549288.0,2,129,13,0,1.0,132.0,G,Major,92.0,53.0,62.0,7.0,0.0,63.0,10.0
927,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",12/18/2020,668,1,140430339.0,0,0,31,0,0.5,125.0,D#,Minor,49.0,13.0,74.0,0.0,0.0,9.0,4.0
928,California Breeze,Lil Baby,10/14/2022,991,0,85559365.0,36,38,13,0,3.0,162.0,F,Minor,74.0,22.0,67.0,0.0,0.0,11.0,46.0
929,Bamba (feat. Aitch & BIA),"Luciano, Aitch, B�",9/22/2022,869,7,146223492.0,14,12,12,2,28.0,138.0,A#,Major,80.0,82.0,81.0,14.0,0.0,13.0,36.0
930,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",7/1/2022,648,4,187701588.0,0,0,30,0,0.0,161.0,A#,Minor,59.0,62.0,60.0,12.0,0.0,5.0,44.0
931,Major Distribution,"Drake, 21 Savage",11/4/2022,1545,0,154863153.0,22,7,15,0,0.0,131.0,G#,Minor,91.0,23.0,55.0,1.0,0.0,7.0,32.0
932,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",11/4/2022,1930,0,191333656.0,24,8,17,0,1.0,122.0,E,Minor,75.0,45.0,63.0,6.0,0.0,35.0,12.0
933,Vigilante Shit,Taylor Swift,10/21/2022,1948,0,253650850.0,12,9,16,0,0.0,80.0,E,Minor,80.0,16.0,28.0,17.0,0.0,12.0,39.0
934,Question...?,Taylor Swift,10/21/2022,1608,0,223064273.0,10,3,12,0,0.0,109.0,G,Major,75.0,11.0,50.0,20.0,0.0,30.0,17.0
935,On BS,"Drake, 21 Savage",11/4/2022,1338,0,170413877.0,9,20,7,0,0.0,158.0,A,Major,84.0,33.0,36.0,2.0,0.0,39.0,59.0
936,Mastermind,Taylor Swift,10/21/2022,1936,0,218320587.0,7,5,13,0,0.0,126.0,E,Major,66.0,12.0,35.0,55.0,0.0,9.0,14.0
937,Circo Loco,"Drake, 21 Savage",11/4/2022,1794,0,141720999.0,26,9,17,0,3.0,104.0,C#,Major,73.0,25.0,61.0,1.0,0.0,32.0,7.0
938,Labyrinth,Taylor Swift,10/21/2022,1597,0,187339835.0,6,3,15,0,0.0,110.0,,Major,48.0,15.0,31.0,80.0,22.0,12.0,4.0
939,Spin Bout U,"Drake, 21 Savage",11/4/2022,1652,2,198365537.0,26,52,10,0,95.0,130.0,G,Major,77.0,20.0,70.0,1.0,0.0,16.0,5.0
940,Sweet Nothing,Taylor Swift,10/21/2022,1747,0,186104310.0,9,6,13,0,2.0,177.0,,Major,34.0,39.0,16.0,97.0,0.0,12.0,5.0
941,"Would've, Could've, Should've",Taylor Swift,10/21/2022,1715,0,177503916.0,4,5,8,0,0.0,158.0,G,Major,48.0,55.0,84.0,43.0,0.0,15.0,12.0
942,Con La Brisa,"Ludwig Goransson, Foudeqush",11/4/2022,486,0,71095708.0,8,1,7,0,0.0,114.0,D,Minor,62.0,25.0,44.0,51.0,33.0,14.0,3.0
943,Privileged Rappers,"Drake, 21 Savage",11/4/2022,1007,0,112436403.0,6,5,3,0,0.0,144.0,F,Major,93.0,62.0,61.0,0.0,0.0,12.0,20.0
944,The Astronaut,Jin,10/28/2022,481,9,203436468.0,10,100,15,1,27.0,125.0,F,Major,54.0,22.0,76.0,0.0,0.0,14.0,3.0
945,BackOutsideBoyz,Drake,11/4/2022,1045,0,93367537.0,8,5,2,0,0.0,142.0,F,Minor,85.0,40.0,43.0,4.0,0.0,39.0,32.0
946,Broke Boys,"Drake, 21 Savage",11/4/2022,1060,0,106249219.0,3,8,5,0,0.0,120.0,D,Major,64.0,11.0,53.0,1.0,0.0,25.0,27.0
947,The Great War,Taylor Swift,10/21/2022,1274,0,181382590.0,1,6,11,0,0.0,96.0,F,Major,57.0,55.0,74.0,22.0,0.0,8.0,4.0
948,My Mind & Me,Selena Gomez,11/3/2022,953,0,91473363.0,61,13,37,1,0.0,144.0,A,Major,60.0,24.0,39.0,57.0,0.0,8.0,3.0
949,Bigger Than The Whole Sky,Taylor Swift,10/21/2022,1180,0,121871870.0,4,0,8,0,0.0,166.0,F#,Major,42.0,7.0,24.0,83.0,1.0,12.0,6.0
950,A Veces (feat. Feid),"Feid, Paulo Londra",11/3/2022,573,0,73513683.0,2,0,7,0,0.0,92.0,C#,Major,80.0,81.0,67.0,4.0,0.0,8.0,6.0
951,En La De Ella,"Feid, Sech, Jhayco",10/20/2022,1320,0,133895612.0,29,26,17,0,0.0,97.0,C#,Major,82.0,67.0,77.0,8.0,0.0,12.0,5.0
952,Alone,Burna Boy,11/4/2022,782,2,96007391.0,27,18,32,1,0.0,90.0,E,Minor,61.0,32.0,67.0,15.0,0.0,11.0,5.0
